标题,价格(元),所在地,想要人数,商品URL
【电子版】大山里的小诗人 充电学习，无纸化阅读 【价格及版本】 高清电子版: 1.00/本，不用问有没有，点击右下角我想要，拍下系统速度【自动发货】，度盘转存，无需等待。 【发货内容】 pdf，epub，mobi 电子格式文件都发 ☞ pdf 和 epub 文件可...,1.0,上海,7,https://www.goofish.com/item?id=855263274229&categoryId=126864021
讲讲古诗词 全4册，特级教师蒋军晶著，长江文艺出版社出版。小 学生爱上的创意诗词课，印刷版。 书籍成色完好，无缺页破损。印刷清晰，纸质优良，适合小学生阅读。蒋老师从孩子的视角出发，通过诗人、意象和表达规律等趣味主题，把古诗词串联起来，告别死记硬背，真正理解诗词内涵。 出手理由：书架腾地方，便宜转让。 ...,26.0,湖南,0,https://www.goofish.com/item?id=961078759262&categoryId=127812005
全新正版诗歌集四下《大山里的小诗人 》童谣儿歌120首 电子 版小学语文四下  电子版5.9 实体书籍版30包邮 请留言  支持打印/手机/电脑/PAD/电视/投影等电子设备播放  文字整理+每页整理   我是个男孩妈妈 被这本书的每一个字所惊艳 同时又赞叹诗歌给人们带来的力量（见图二） 她能用柔软的...,6.99,山东,49,https://www.goofish.com/item?id=896861465779&categoryId=202036301
姜二嫚的诗，13岁萌系天才小诗人个人诗集，浙江文艺出版社出版 。内页干净整洁，有轻微使用痕迹，内页纸张质地很好，印刷清晰。收录了姜二嫚创作的优美诗句，配有精美插画，适合青少年阅读。封面是星空背景，内页内容生动有趣，充满童真童趣。喜欢的朋友可以拍,9.9,广东,0,https://www.goofish.com/item?id=963173863320&categoryId=127838003
姜二嫚的诗+大山里的小诗人(套装2册) 孩子们的诗 儿童文学 果麦   1、全新高清印刷书籍，能拍证明有。   2、喜欢直接拍下点“我想要”——“立即购买”  3、拍下后一般24-48小时内发货  4、快递如有破损，请拒收退回 ...,33.0,广东,45,https://www.goofish.com/item?id=897959774298&categoryId=127838003
出邪恶小饺 已补邮 10cm  娃妈诗人怎么了 感兴趣的话点“我想要”和我私聊吧～,80.0,广东,8,https://www.goofish.com/item?id=960973214367&categoryId=202035401
【秒发货】这才是低龄儿童该看的动画片||| 【秒发货】这才是低龄儿童该看的动画片|||错过后悔央视放大招动画片专为低龄儿童拍的知识型1⃣《磨耳朵单词趣记课》每集5分钟，共28集每天3-5分钟磨耳朵，不知不觉中积累500词汇量。为孩子英语学习打下基础，激发孩子学习英语的兴趣！适合6-8岁2⃣《怪兽数学》每集8分钟，共8集趣味故事里的数学思维课3-9岁孩子必备激发孩子的数学思维，让孩子真正爱上数学。两只小怪兽与孩子一起探索数学的奥秘，将抽象数学概念形象化，和孩子一起做数学游戏，让孩子爱上数学。适合3-9岁3⃣《魔法拼音国》每集5分钟，共32集以变魔法的形式解释枯燥的拼读规则，每天10分钟，30天独立学会拼音300+音节拼读的深度学习，认得清、读的准、记得牢、写的对！适合3-9岁4⃣《唐诗大电影》每集10分钟，共10集10节课程，10个诗人，45首唐诗，针对中小学语文课本诗词的深入解读，也是一次妙趣横生的诗心之旅。让孩在“大电影”中爱上语文适合3-9岁5⃣《拯救汉字星球》每集13分钟，共52集不仅可以识字，还能懂得汉字背后的文化和历史。用动画讲中国汉字故事，从小树立文化自信。告别死记硬背，在趣味故事中轻松高效学汉字。适合4-12岁✅下单前看下最后一张图姿势✅宝贝具有复制性，一经售出，概不退换，介意慎拍✔百du网盘自动发货，即刻拍即刻发感兴趣的话点“我想要”，或者直接拍下吧✔✔✔,1.0,北京,7,https://www.goofish.com/item?id=964165144644&categoryId=202036301
幼小衔接，央视推荐小 幼小衔接，央视推荐小朋友动画，魔法拼音国，磨耳朵单词趣记课，拯救汉字星球，怪兽数学，唐诗大电影，汉字，英语单词，唐诗，数学动画片。（知识篇文件里面）共五部。赠送：央视推荐各类动画片总270个G容量错过后悔央视放大招动画片专为低龄儿童拍的知识型直接拍自动秒发货！！1⃣《磨耳朵单词趣记课》每集5分钟，共13集每天3-5分钟磨耳朵，不知不觉中积累500词汇量。为孩子英语学习打下基础，激发孩子学习英语的兴趣！适合6-8岁2⃣《怪兽数学》每集8分钟，趣味故事里的数学思维课3-9岁孩子必备激发孩子的数学思维，让孩子真正爱上数学。两只小怪兽与孩子一起探索数学的奥秘，将抽象数学概念形象化，和孩子一起做数学游戏，让孩子爱上数学。适合3-9岁3⃣《拼音魔法课堂》21集版本的以变魔法的形式解释枯燥的拼读规则，每天10分钟，30天独立学会拼音300+音节拼读的深度学习，认得清、读的准、记得牢、写的对！适合3-9岁4⃣《唐诗大电影》每集10分钟，10节课程，10个诗人，45首唐诗，针对中小学语文课本诗词的深入解读，也是一次妙趣横生的诗心之旅。让孩在“大电影”中爱上语文适合3-9岁5⃣《拯救汉字星球》每集13分钟，不仅可以识字，还能懂得汉字背后的文化和历史。用动画讲中国汉字故事，从小树立文化自信。告别死记硬背，在趣味故事中轻松高效学汉字。适合4-12岁少儿动画片#动画片 #少儿动画片 #动画电影 #动画推荐 #启蒙 #益智早教 #幼儿早教 #文学 #教育 #早期教育 #启蒙 #启蒙早教 #启蒙儿歌 #启蒙绘本 #动画片 #少儿动画片 #动画电影 #动画推荐 #启蒙 #益智早教 #幼儿早教 #教育 #文学 #阅读,1.0,北京,0,https://www.goofish.com/item?id=962598665456&categoryId=202036301
【发全部】幼小衔接，央视推荐的小朋友动画，魔法拼音国，磨耳朵 [树][树][树][树][树]发全部幼小衔接，央视推荐的小朋友动画，魔法拼音国，磨耳朵单词趣记课，拯救汉字星球，怪兽数学，唐诗大电影，汉字，英语单词，唐诗，数学动画片。知识篇文件里面共五部。#学习资料教材 [火][火][火][火][火][火]赠送央视推荐各类动画片总270个G容量错过后悔央视放大招动画片专为低龄儿童拍的知识型1磨耳朵单词趣记课每集5分钟，共13集每天35分钟磨耳朵，不知不觉中积累500词汇量。为孩子英语学习打下基础，激发孩子学习英语的兴趣！适合6-8岁2怪兽数学每集8分钟，趣味故事里的数学思维课3-9岁孩子必备[左][左][左][左][左][闪亮]激发孩子的数学思维，让孩子真正爱上数学。两只小怪兽与孩子一起探索数学的奥秘，将抽象数学概念形象化，和孩子一起做数学游戏，让孩子爱上数学。适合3-9岁3魔法拼音国每集5分钟，以变魔法的形式解释枯燥的拼读规则，每天10分钟，30天独立学会拼音300音节拼读的深度学习，认得清、读的准、记得牢、写的对！4唐诗大电影每集10分钟，10节课程，10个诗人，45首唐诗，针对中小学语文课本诗词的深入解读，也是一次妙趣横生的诗心之旅。让孩在大电影中爱上语文5拯救汉字星球每集13分钟，不仅可以识字，还能懂得汉字背后的文化和历史。用动画讲中国汉字故事，从小树立文化自信。告别死记硬背，在趣味故事中轻松高效学汉字。适合4-12岁超值赠送确认收货好平赠送BBC纪录片中英字幕记录片历史频道国家地理教科普全集，场景宏伟，生动有趣，大人小孩都爱看，提高兴趣科普各类知识！购买须知不用问直接拍24小时秒发货虚拟产品收集不易，只收取收集资料的辛苦费，资料有可复制性不支持仅退款！请谅解！动画片 少儿动画片 动画电影 动画推荐 启蒙,4.9,北京,208,https://www.goofish.com/item?id=939134108575&categoryId=202036301
大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃 诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务，可为了家人，李善德决心放手一搏：“就算失败，我也想知道，自己倒在距离终点多远的地方。”《长安的荔枝》是马伯庸备受好评的历史小说。唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”一千多年来引发了人们的无限遐想，但鲜荔枝的保鲜时限仅有三天，这场跨越五千余里的传奇转运之旅究竟是如何达成的谁让杨贵妃在长安吃到了来自岭南的鲜荔枝？作者马伯庸就此展开了一场脑洞非常大的想象1.所有书质量保证，能拍的都有货，请看清楚介绍再拍。2.拍下后24小时内发货（极个别会因天气等原因推迟）。3.低价走量，偏远地区不包邮，新疆西藏不发货4.收到货有任何问题请在3天内联系我！感兴趣的话点“我想要”和我私聊吧～全新，全店包邮，能下单的都有货，库存充足，可直接拍下。一般情况下，24小时之内发货，最晚不超过48小时。暂不接受指定快递。【售后问题】商品发出后，因买家自己原因造成的拒收或退换货，需要买家承担相应的邮费。,9.99,上海,0,https://www.goofish.com/item?id=966159752169&categoryId=202036301
