标题,价格(元),所在地,想要人数,商品URL
"【秒发】面包烘焙书合集，45本全，非纸质，pdf版本关注我粉丝价 【秒发】面包烘焙书合集，45本全，非纸质，pdf版本关注我粉丝价格0.68全集45本特价出只要1元，自动发货不是实体书,网 盘pdf版本。有的是繁体字，介意勿拍。清晰度不一，有的很清晰，有的一般，介意勿拍。书单如下：1.烘焙原理第三版 2.日本专卖店的话题贝果 3.回家做面包 普通人做出192款面包的不败方法 4.面包 吉野精一5.面包圣经 6.面包学 7.获山和也的手作面包 8.法国蓝带面包配方 9.法式面包烘焙宝典 10.烘焙女王YOYO的私藏手札--103道手作面包11.看视频!轻松学做蓝带面包 12.面包教室开课了 13.面粉·水·盐·酵母-手工制作面包和比萨的基础 14.名店面包大公开 15.手揉面包教科书 16.台味欧包 17.酥出本色 18.天然酵母面包 19.吴宝春的面包秘笈 20.小岛老师的蛋糕教室 21.学徒面包师 22.与酵母共舞 23.永不失败的面包烘焙教科书 24.一学就会的111种面包 25.职人手感吐司 26.至爱面包 27.做个好面包 28.做面包不失败的15堂关键必修课 烘焙，从面团开始29.日式手感极品和风面包 30.堂本面包店31.烘焙职人·顶级吐司面包全书 32.烘焙，从面团开始33.面包制作的科学 34.日出前开始做面包35.天然酵母面包的技术教本36.天然酵母面包制作教科书37.学徒面包师 掌握非凡面包的烘焙记忆38.竹谷光司的面包技法39.现实主义面包1册40.现实主义面包2册41.现实主义面包3册42.现实主义面包4册43.现实主义面包5册44.现实主义面包6册45.长时间发酵的理想面包",1.1,山西,1,https://www.goofish.com/item?id=964683541711&categoryId=202036301
新课标高教版中职艺术美术鉴赏与实践PPT课件教案视频素材电子版 专业内容体系，紧扣新课标要求​美术鉴赏深度解析：PPT 课件与教案对美术鉴赏部分进行了深入且系统的讲解。从不同艺术流派的发展脉络，如古典主义、浪漫主义、印象派、现代主义等，到各流派代表作品的艺术特色、创作背景与内涵解读，都有详细呈现。例如，在讲解印象派作品时，通过高清图片展示莫奈的《日出・印象》，深入剖析其光影运用、色彩表现以及对传统绘画的突破，让学生理解印象派注重瞬间感受与光影变化的艺术理念。同时，引导学生从多个角度欣赏作品，如构图、线条、色彩情感等，培养学生独立思考与审美鉴赏能力，使学生能够在面对各类美术作品时，准确把握其艺术价值。​实践教学丰富多元：在美术实践方面，提供了丰富多样的教学内容与指导。教案详细规划了绘画、手工制作、设计等多种实践课程的教学步骤与方法。在绘画实践中，涵盖素描、色彩画、速写等基础绘画类型，从握笔姿势、线条练习，到构图方法、色彩调配，逐步引导学生掌握绘画技巧；手工制作课程则包括纸艺、陶艺、木工等，培养学生的动手能力与创造力，如在纸艺课程中，教导学生如何通过折叠、剪裁、粘贴等手法制作精美的纸艺作品；设计实践部分，引入平面设计、立体设计等内容，让学生了解设计的基本原理与方法，如在平面设计课程中，教授学生如何运用图形、文字、色彩进行海报设计。通过丰富多元的实践教学，让学生在实践中提升艺术技能，将理论知识转化为实际创作能力。,1.0,北京,10,https://www.goofish.com/item?id=905125773099&categoryId=202036301
布局天下：中国古代军事地理大势。epub+mobi+pdf。 直接拍即可，上线后发w盘。售出后不退不换其他可选：中国当代史研究（全3） 华东师范大学中国当代史研究中心。5r讲谈社-兴亡的世界史（全9）。1r94版央视电视剧三国演义文学剧本。10r黄金是更好的选择。2.5r小浣熊统一名著卡图解。1r蒋公的面子。3.5 r玉润中华：中国玉器的万年史诗图卷。3.5 r讲谈社-中国的历史（全）。1r讲谈社-日本的历史（全）。1r茅海建作品集（套装共5册）。1.2r威廉·曼彻斯特-光荣与梦想（中信全4册）。1r岳南-南渡北归。1r新中国财政金融制度变迁事件解读。1.2r黑客与画家：硅谷创业之父Paul Graham文集。1r抗战时代生活史+银元时代生活史。4r刘子超旅行文学四部曲：血与蜜之地+沿着季风的方向+午夜降临前抵达+失落的weixing：深入中亚大陆的旅程。1.5r漫长的余生：一个北魏宫女和她的时代 + 喜：一个秦吏和他的世界。1.5r马伯庸-桃花源没事儿。1r新概念英语4册+自学导读4册。1r置身事内：中国政府与经济发展+县乡中国：县域治理现代化。1r布局天下：中国古代军事地理大势。1r大汉帝国在巴蜀：蜀汉天命的振扬与沉坠。1r沉没的甲午：北洋悲歌与晚清大败局。1r大医·破晓篇+日出。1r帝国最后的荣耀：大明1592抗日援朝。1r第一本经济学。1r黄奇帆-战略与路径+结构性改革+分析与思考。2r渐行渐远的红利。2r结构化表达。1r二十世纪中国史纲（全4）。1r金观涛（消失的真实+中国现代思想的起源+开放中的变迁+论中国社会超稳定结构）。2r金字塔原理（1+2）。1r琅琊榜（全3）。1r李娟作品（羊道三部曲+冬牧场+九篇雪+走夜路请放声歌唱+阿勒泰的角落）。1.5r吕思勉-三国史话+中国通史+中国历史常识。1r马伯庸作品（共23）（含长安十二时辰、显微镜下的大明、两京十五日、三国配角演义、风起陇西、古董局中局1-4）。2r茅盾文学奖经典15部（全35）。1r幕后产品。1r那不勒斯四部曲。1r庆余年（精校版）。1r求索中国。1r去依附。1r人人都是产品经理（1+2）。1r莎士比亚全集（11册）。1r设计心理学（全4）。1r食南之徒。1r太白金星有点烦。1r东晋门阀政治。1r文化不苦旅：重走诸葛亮北伐之路。1r萧冬连-筚路维艰。1r俞军产品方法论。1r岳南-考古中国（全11）。1r岳南大中华史（上下）。1.5r长安的荔枝。1r中国断代史合集（中华远古+殷商+西周+春秋+战国+秦汉+魏晋南北朝+隋唐五代+宋+辽金西夏+元+明+清17册）。1.5r售出后不退不换。需要其他电子图片，可询问。,1.0,北京,4,https://www.goofish.com/item?id=919023567939&categoryId=202036301
"【秒发】面包烘焙书合集，45本全，非纸质，pdf版本关注我粉 丝价【秒发】面包烘焙书合集，45本全，非纸质，pdf版本全集45本特价出只要1元，自动发货不是实体书,网 盘pdf版本。有的是繁体字，介意勿拍。清晰度不一，有的很清晰，有的一般，介意勿拍。书单如下：1.烘焙原理第三版 2.日本专卖店的话题贝果 3.回家做面包 普通人做出192款面包的不败方法 4.面包 吉野精一5.面包圣经 6.面包学 7.获山和也的手作面包 8.法国蓝带面包配方 9.法式面包烘焙宝典 10.烘焙女王YOYO的私藏手札--103道手作面包11.看视频!轻松学做蓝带面包 12.面包教室开课了 13.面粉·水·盐·酵母-手工制作面包和比萨的基础 14.名店面包大公开 15.手揉面包教科书 16.台味欧包 17.酥出本色 18.天然酵母面包 19.吴宝春的面包秘笈 20.小岛老师的蛋糕教室 21.学徒面包师 22.与酵母共舞 23.永不失败的面包烘焙教科书 24.一学就会的111种面包 25.职人手感吐司 26.至爱面包 27.做个好面包 28.做面包不失败的15堂关键必修课 烘焙，从面团开始29.日式手感极品和风面包 30.堂本面包店31.烘焙职人·顶级吐司面包全书 32.烘焙，从面团开始33.面包制作的科学 34.日出前开始做面包35.天然酵母面包的技术教本36.天然酵母面包制作教科书37.学徒面包师 掌握非凡面包的烘焙记忆38.竹谷光司的面包技法39.现实主义面包1册40.现实主义面包2册41.现实主义面包3册42.现实主义面包4册43.现实主义面包5册44.现实主义面包6册45.长时间发酵的理想面包",1.0,上海,6,https://www.goofish.com/item?id=962952156101&categoryId=202036301
高情商管理大海日出操盘实录金字塔原理定位助推机构投资创新之路 卓有成效的管理者金融危机与改革人性的哲学探讨 10元一本，包邮 娃爸摆在柜子里两年都没有动过，买的时候挺兴奋的，吃灰了两年 金融危机和改革，助推，机构投资和创新之路，定位，四本已出。,10.0,广东,3,https://www.goofish.com/item?id=784798860126&categoryId=127848003
火蚁卡项目，日出几百米，稳定方案，不免费，做的来 1.项目介绍 稳定运营2年+游戏打金项目，原理通过数字解谜获得游戏金币，正规打金项目通过全自动挂机软件操作赚取平台金币，项目上手就能看到收益 2.项目收益 全自动软件挂机操作模式，一个账号一天收益90-180，一天电脑最多可以多开6个窗口...,3.87,浙江,0,https://www.goofish.com/item?id=909856302535&categoryId=201460115
"【秒发】面包烘焙书合集，45本全，非纸质，pdf版本 全集45本特价出只要1元，自动发货[1]不是实体书,网 盘pdf版本。[2]有的是繁体字，介意勿拍。[3]清晰度不一，有的很清晰，有的一般，介意勿拍。书单如下：1.烘焙原理第三版 2.日本专卖店的话题贝果 3.回家做面包 普通人做出192款面包的不败方法 4.面包 吉野精一5.面包圣经 6.面包学 7.获山和也的手作面包 8.法国蓝带面包配方 9.法式面包烘焙宝典 10.烘焙女王YOYO的私藏手札--103道手作面包11.看视频!轻松学做蓝带面包 12.面包教室开课了 13.面粉·水·盐·酵母-手工制作面包和比萨的基础 14.名店面包大公开 15.手揉面包教科书 16.台味欧包  17.酥出本色 18.天然酵母面包 19.吴宝春的面包秘笈 20.小岛老师的蛋糕教室 21.学徒面包师 22.与酵母共舞 23.永不失败的面包烘焙教科书 24.一学就会的111种面包 25.职人手感吐司  26.至爱面包 27.做个好面包 28.做面包不失败的15堂关键必修课 烘焙，从面团开始29.日式手感极品和风面包 30.堂本面包店31.烘焙职人·顶级吐司面包全书 32.烘焙，从面团开始33.面包制作的科学 34.日出前开始做面包35.天然酵母面包的技术教本36.天然酵母面包制作教科书37.学徒面包师 掌握非凡面包的烘焙记忆38.竹谷光司的面包技法39.现实主义面包1册40.现实主义面包2册41.现实主义面包3册42.现实主义面包4册43.现实主义面包5册44.现实主义面包6册45.长时间发酵的理想面包#烘焙模具 #我是美味魔法师",1.88,广东,0,https://www.goofish.com/item?id=965658023809&categoryId=202036301
"【秒发】面包烘焙书合集，45本全，非纸质，pdf版本关注我粉丝价 【秒发】面包烘焙书合集，45本全，非纸质，pdf版本关注我粉丝价格0.68全集45本特价出只要1元，自动发货不是实体书,网 盘pdf版本。有的是繁体字，介意勿拍。清晰度不一，有的很清晰，有的一般，介意勿拍。书单如下：1.烘焙原理第三版 2.日本专卖店的话题贝果 3.回家做面包 普通人做出192款面包的不败方法 4.面包 吉野精一5.面包圣经 6.面包学 7.获山和也的手作面包 8.法国蓝带面包配方 9.法式面包烘焙宝典 10.烘焙女王YOYO的私藏手札--103道手作面包11.看视频!轻松学做蓝带面包 12.面包教室开课了 13.面粉·水·盐·酵母-手工制作面包和比萨的基础 14.名店面包大公开 15.手揉面包教科书 16.台味欧包 17.酥出本色 18.天然酵母面包 19.吴宝春的面包秘笈 20.小岛老师的蛋糕教室 21.学徒面包师 22.与酵母共舞 23.永不失败的面包烘焙教科书 24.一学就会的111种面包 25.职人手感吐司 26.至爱面包 27.做个好面包 28.做面包不失败的15堂关键必修课 烘焙，从面团开始29.日式手感极品和风面包 30.堂本面包店31.烘焙职人·顶级吐司面包全书 32.烘焙，从面团开始33.面包制作的科学 34.日出前开始做面包35.天然酵母面包的技术教本36.天然酵母面包制作教科书37.学徒面包师 掌握非凡面包的烘焙记忆38.竹谷光司的面包技法39.现实主义面包1册40.现实主义面包2册41.现实主义面包3册42.现实主义面包4册43.现实主义面包5册44.现实主义面包6册45.长时间发酵的理想面包",1.0,北京,1,https://www.goofish.com/item?id=963674121256&categoryId=202036301
【微瑕】环球旅行【二手】 #涉及套装书或多册的图书，请咨询客服确认本数后再下单，以咨询结果为准;7-10岁 超震撼的立体阅读，学习地理知识只用这一本！读万卷书，行万里路。在阿尔卑斯山上了解日出日落的原理，潜入太平洋观察神秘的海底火山，在南美洲丈量亚马孙河的长度，...,5.44,四川,0,https://www.goofish.com/item?id=897692848557&categoryId=201544601
"【秒发】面包烘焙书合集，54本全，非纸质，pdf版本关注我粉 丝价【秒发】面包烘焙书合集，54本全，非纸质，pdf版本关注我粉丝价格0.68全集45本特价出只要1元，自动发货不是实体书,网 盘pdf版本。有的是繁体字，介意勿拍。清晰度不一，有的很清晰，有的一般，介意勿拍。书单如下：1.烘焙原理第三版 2.日本专卖店的话题贝果 3.回家做面包 普通人做出192款面包的不败方法 4.面包 吉野精一5.面包圣经 6.面包学 7.获山和也的手作面包 8.法国蓝带面包配方 9.法式面包烘焙宝典 10.烘焙女王YOYO的私藏手札--103道手作面包11.看视频!轻松学做蓝带面包 12.面包教室开课了 13.面粉·水·盐·酵母-手工制作面包和比萨的基础 14.名店面包大公开 15.手揉面包教科书 16.台味欧包 17.酥出本色 18.天然酵母面包 19.吴宝春的面包秘笈 20.小岛老师的蛋糕教室 21.学徒面包师 22.与酵母共舞 23.永不失败的面包烘焙教科书 24.一学就会的111种面包 25.职人手感吐司 26.至爱面包 27.做个好面包 28.做面包不失败的15堂关键必修课 烘焙，从面团开始29.日式手感极品和风面包 30.堂本面包店31.烘焙职人·顶级吐司面包全书 32.烘焙，从面团开始33.面包制作的科学 34.日出前开始做面包35.天然酵母面包的技术教本36.天然酵母面包制作教科书37.学徒面包师 掌握非凡面包的烘焙记忆38.竹谷光司的面包技法39.现实主义面包1册40.现实主义面包2册41.现实主义面包3册42.现实主义面包4册43.现实主义面包5册44.现实主义面包6册45.长时间发酵的理想面包",1.0,河南,3,https://www.goofish.com/item?id=962732615943&categoryId=202036301
