标题,价格(元),所在地,想要人数,商品URL
【下单秒发货】纪录片《制造的原理 》造物小百科1-25季 　这是探索频道正在播出的一套介绍各种日常生活用品的制作生产过程的系列片。极富娱乐性和知识性。 当我们的日常生活因琳琅满目的各类产品而变得更加丰富多彩的同时，你有没有想过，这些产品是如何制造出来的呢？ Discovery的王牌节目《How it's Made》将带领我们亲眼目睹数千种产品的生产过程。从我们日常生活经常接触到的面食，糖果等；到高端技术如计算机，汽车，飞机等，几乎无所不包。 这套节目是在加拿大录制的。加拿大是一个独立性很强的工业化国家，我们可以透过节目了解到几乎所有行业的产品；加拿大同时是一个自主性很强的工业化国家，不像我国的工业结构那样偏向简单的来料加工，加拿大的工厂更多的是一气呵成，从产品设计研发到包装出厂基本是一厂包办。这使我们能更深入了解产品的生产流程。由于国情的不同，节目还会介绍少量我们闻所未闻的产品。 俗语说得好，百闻不如一见。你...,3.0,广东,3,https://www.goofish.com/item?id=937569077267&categoryId=126864805
【海豚童书】我的100个小小问题 全4册趣味科普认知小百科点 读版，全新正版！适合3-6岁宝宝阅读，身体、动物、自然、生活四大主题，100个奇趣问题，激发孩子探索欲！支持小鸡球球、小猴皮皮、豚小蒙点读笔点读（点读笔需自备）。全新正品，抖音海豚传媒点读书旗舰店发货，下单提供订单截图，售出不退不换！非偏远地区包邮，48小时内发货，想要其他书也可以咨询我哦～（注：可以直接拍，基本有货，因看消息不及时，望见谅。如遇特殊情况会告知并办理退款）,42.9,河北,21,https://www.goofish.com/item?id=961154190711&categoryId=127832004
【微瑕】长长的小百科：热闹的家【二手】 #涉及套装书或多册的图书，请咨询客服确认本数后再下单，以咨询结果为准;2～6岁“长长的小百科”系列新作，独特的超长开本，大幅翻页画卷，呈现家庭生活的5大场景、202种事物，针对儿童视觉发展设计，结合探索发现和科普认知，让孩子在游戏中学习。#若原书涉及附件的，请已咨询客服回复结果为准; 已发货订单物流信息如未更新，可以咨询客服查询实时物流信息，快递如有破损，或者收到的书籍有质量问题，请联系客服售后。,20.78,四川,0,https://www.goofish.com/item?id=901063073745&categoryId=201544601
【海豚童书】我的100个小小问题 全4册趣味科普认知小百科点 读版，全新正版！适合3-6岁宝宝阅读，身体、动物、自然、生活四大主题，100个奇趣问题，激发孩子探索欲！支持小鸡球球、小猴皮皮、豚小蒙点读笔点读（点读笔需自备）。全新正品，抖音海豚传媒点读书旗舰店发货，下单提供订单截图，售出不退不换！非偏远地区包邮，48小时内发货，想要其他书也可以咨询我哦～（注：可以直接拍，基本有货，因看消息不及时，望见谅。如遇特殊情况会告知并办理退款）我的100个小小问题,41.0,天津,11,https://www.goofish.com/item?id=962593134590&categoryId=127832004
探索奇妙的科学《身边的小百科》，上海科普出版社老版科普书，8 成新，内页干净整洁，图文并茂，讲解科学知识很有趣。适合小朋友看，内容包括日常生活中的科学现象，。品相如图，有小瑕疵，介意勿拍，非偏远地区满20元包邮，出售不退不换，考虑清楚再拍哦！全10册 探索奇妙的科学 鸟类与昆虫/交通大科学发现 彩色绘...,6.0,广东,0,https://www.goofish.com/item?id=936399302809&categoryId=127832004
好奇喵：生物小百科【32集全】 家人们，我必须得倾诉下给孩子买科普动画的心酸历程。本想着借科普动画，让孩子轻松开启知识探索之旅，谁知道，这一买，就像打开了“潘多拉魔盒”。起初孩子看《好奇喵：生物小百科》，被那些微小生物的奇妙生活深深吸引，眼睛都不眨一下。可这一看完，就如同被点燃了求知欲的小火苗，不停地催着我找更多类似的动画。为了满足小家伙，我天天在各种平台搜罗，钱包也在不知不觉中迅速“瘦身”。算下来，这段时间在科普动画上砸的钱，都够全家出去美美地吃上几顿大餐了。不过折腾归折腾，我倒是攒了一大箩筐超优质的科普动画资源。从探索神秘的人体内部构造，到深入解读浩瀚宇宙中的天文奇观；从领略不同国家的风土人情，到回溯人类文明的漫长发展历程，简直应有尽有。这些动画制作精良，用充满趣味的方式将晦涩的知识变得生动易懂，孩子看得开心，知识也学了不少。现在我实在是有点顶不住这“烧钱”的节奏了，决定把这些资源转手。价格嘛，低到超乎想象，差不多就跟买个小零食的钱一样。真心希望能帮到那些和我有相同经历，被孩子的科普动画需求搞得焦头烂额的家长们，让孩子们能持续沉浸在知识的海洋里，咱们家长也不用再为这事儿大把花钱。要是你感兴趣，千万别犹豫，赶紧私聊我，资源数量有限，先下手为强，晚了可就抢不到啦！,2.0,北京,0,https://www.goofish.com/item?id=965333719491&categoryId=126864808
点读版Oxford Read and Discover 1- 6级牛津阅读与探索发现送音频 牛津阅读与探索发现1-6阶点读高品✓牛津阅读与探索发现108册 oxford Read and Discover 1-6英文 赠音频两种品质普品和高品[树]区别高品版采用原木浆铜版纸，字体印刷更清晰，色彩更鲜艳！跟普品不是一个档次！❤️可点读 小蝌蚪 小达人都可以送音频 内容包括:电，塑料，艺术，学校，工作，城市，全球各地的节日，美食，植物，海洋，神奇的宇宙等等，就是百科全书，是孩子了解百科的很好书籍~牛津探索一 20册探索二 20册探索三 20册探索四 20册探索五 14册探索六 14册全套1-6 108册直接拍是一级别，想要哪个级别私聊我，备注下单全套108ce 有优惠支持小达人小蝌蚪等多种点读笔点读本套餐不含点读笔，需要点读笔的可以私信聊，价格实惠～,39.0,北京,0,https://www.goofish.com/item?id=869841127131&categoryId=201896704
出两本书：《色彩搭配设计师必备宝典》教实用配色技巧。《寻找灵 魂光线》探索色彩艺术能量疗愈（含配套小本子）。前者内页新，后者封面及首尾页微黄、四角稍损，想玩转色彩的别错过，打包解锁色彩奇妙。,15.74,广东,0,https://www.goofish.com/item?id=964630829738&categoryId=201896704
DK我的第一本认知世界小百科【全新正版】 中国大百科全书出版社出版，DK出品的经典科普读物！适合3-6岁小朋友阅读，内容丰富有趣，包含健康的身体、日常生活、科学与技术、充满生机的星球、我们的世界、旅行和交通六大板块，让孩子轻松认识世界！书中配有精美图片和详细解释，帮助孩子建立知识体系，培养探索精神！❤️购买须知：1.出版社直发，正版保证，非质量问题不支持无理由退换货，介意者请移步天猫2.下单前请仔细确认收货信息，下单后不改单不撤单3.有货商品下单72小时内上传物流单号，周末节假日顺延4.偏远地区咨询邮费#儿童童书推荐 #出闲置图书 #儿童早教 儿童童书推荐 儿童科普读物 科普知识 早教启蒙DK童书 儿童百科全书,15.0,天津,0,https://www.goofish.com/item?id=965061768387&categoryId=201459411
种子计划·古怪小行星 彭绪洛著 大连出版社出版 科幻太空探索题材 少年儿童科普读物内容精彩有趣 适合青少年阅读全新原版高清影印图书 喜欢的朋友可以私聊古怪小行星古怪小行星,20.3,湖南,0,https://www.goofish.com/item?id=965374826738&categoryId=201896704
全新正版大人物小百科+科学家大发现两本套装，适合7-15岁孩 子阅读。四色印刷，趣味图解100位中国历史名人和科技名人，走进课本中的名人，秒懂历史文化常识。尺寸185×260mm，10印张，定价69.8元。全新正版包邮，偏远地区补邮费差价，48小时内发货。,45.0,河北,0,https://www.goofish.com/item?id=925947697112&categoryId=201896704
全新正版《DK动物宝宝小百科》 [灯泡]适合3-6岁小朋友，带你探索动物宝宝的世界！这本书由英国DK出版社出品，内容涵盖多种小动物的生活习性，包括海豚、小企鹅等，全彩印刷，图文并茂。书末附有术语表，帮助小朋友理解知识。非常适合亲子共读，增进对动物的了解。#儿童早教  ...,25.0,北京,1,https://www.goofish.com/item?id=852370032824&categoryId=127832004
我的100个小小问题全4册，趣味科普认知小百科点读版，适合3 -6岁宝宝阅读。身体、动物、自然、生活四大主题，100个奇趣小问题，激发孩子探索求知欲。支持小鸡球球、小猴皮皮、豚小蒙点读笔（需自备）。官方直发正版，全新未拆封。非质量问题不退不换！看好下单，48小时内发货！,42.0,北京,1,https://www.goofish.com/item?id=964749138758&categoryId=127832004
探索动物小百科，世一出版社出版，繁体中文版，内页干净整洁，图 文并茂，讲解各种动物的知识。书籍保存完好，适合小朋友阅读学习。同城自提，异地包邮，价格可小刀，喜欢的朋友欢迎私聊。探索動物小百科,20.0,江苏,29,https://www.goofish.com/item?id=945377324886&categoryId=201896704
趣味科学正版彩图版，适合中小学生课外阅读，内容生动有趣，帮助 孩子探索科学奥秘。全新未拆封，中国人口出版社出版，ISBN: 9787548049043。全国包邮（偏远地区除外），24-48小时内发货。感兴趣的朋友可以直接下单哦～趣味科学趣味科学/学生课外必读书系,6.6,江苏,0,https://www.goofish.com/item?id=921001751941&categoryId=201896704
认识我们的身体 神奇的大脑与神经 感兴趣的话点“我想要”和我私聊吧～,21.0,湖南,78,https://www.goofish.com/item?id=962886369052&categoryId=201896704
